name,website,note,url
"Sukhy Hullait, United Kingdom",https://www.sukhyhullait.com/,"Winner, Portraiture, Open competition 2023",https://www.worldphoto.org/team-profile/sukhy-hullait-united-kingdom
"Massimo Giovannini, Italy",https://www.massimogiovannini.com/,"2019 Sony World Photography Awards - 2nd Place, Portraiture, Professional Competition",https://www.worldphoto.org/team-profile/massimo-giovannini-italy
"Antonio Gibotta, Italy",http://vhttps://ag.antoniogibotta.com/,"2018 Sony World Photography Awards - 2nd Place, Discovery, Professional Competition",https://www.worldphoto.org/team-profile/antonio-gibotta-italy
"Paul Gisbrecht, Germany",https://www.hasselblad.com/inspiration/masters/2014/paul-gisbrecht/,"2011 Sony World Photography Awards - Winner, Conceptual, Professional Competition",https://www.worldphoto.org/team-profile/paul-gisbrecht-germany
"Ralph Gräf, Germany",https://graef-photography.de/,"2017 Sony World Photography Awards - Winner, Travel, Open Competition",https://www.worldphoto.org/team-profile/ralph-gr%C3%A4f-germany
"Jan Grarup, Denmark",https://jangrarup.photoshelter.com/,"Sony World Photography Awards 2022 - Winner, Documentary Projects, Professional Competition",https://www.worldphoto.org/team-profile/jan-grarup-denmark
"Sebastian Gil Miranda, Argentina",http://www.sebastiangilmiranda.com/,"2015 Sony World Photography Awards - Winner, Campaign, Professional Competition",https://www.worldphoto.org/team-profile/sebastian-gil-miranda-argentina
"Markus van Hauten, Germany",https://www.van-hauten.eu/,"2016 Sony World Photography Awards - Category Winner, Panoramic, Open Competition",https://www.worldphoto.org/team-profile/markus-van-hauten-germany
"Alessandro Grassani, Italy",https://www.alessandrograssani.com/,"2019 Sony World Photography Awards - Winner, Sport, Professional Competition",https://www.worldphoto.org/team-profile/alessandro-grassani-italy
"Arup Ghosh, India",http://www.arupghosh.in/,2008 Sony World Photography Awards - Open Photographer of the Year,https://www.worldphoto.org/team-profile/arup-ghosh-india
"Andrea Gjestvang, Norway ",http://andreagjestvang.com,"2013 Sony World Photography Awards - Iris d'Or and Winner, People, Professional Competition",https://www.worldphoto.org/team-profile/andrea-gjestvang-norway
"Yasen Georgiev, Bulgaria",https://www.georgievphoto.com/,"2015 Sony World Photography Awards - Category Winner, Travel, Open Competition",https://www.worldphoto.org/team-profile/yasen-georgiev-bulgaria
"Manuel Geerinck, United States",http://manuelgeerinck.com,"2012 Sony World Photography Awards - Winner, Conceptual, Professional Competition",https://www.worldphoto.org/team-profile/manuel-geerinck-united-states
"Stephan Zirwes, Germany",https://stephanzirwes.com,"2019 Sony World Photography Awards - Winner, Architecture, Professional Competition",https://www.worldphoto.org/team-profile/stephan-zirwes-germany
"Gianmaria Gava, Italy",http://www.gianmariagava.com,"2018 Sony World Photography Awards - Winner, Architecture, Professional Competition",https://www.worldphoto.org/team-profile/gianmaria-gava-italy
"Mohammad Golchin, Iran",,"2010 Sony World Photography Awards - Winner, Music, Professional Competition",https://www.worldphoto.org/team-profile/mohammad-golchin-iran
"David Zimmerman, United States",http://davidzimmerman.com,"2009 Sony World Photography Awards - Iris d'Or and Winner, Fine Art, Professional Competition",https://www.worldphoto.org/team-profile/david-zimmerman-united-states
"Kata Zih, Hungary",https://www.catatonyphoto.com/,"2021 Sony World Photography Awards - Category Winner, Object, Open Competition",https://www.worldphoto.org/team-profile/kata-zih-hungary
"Michelle Daiana Gentile, Argentina",https://www.michellegentilef.com/,2017 Sony World Photography Awards - Student Focus Winner,https://www.worldphoto.org/team-profile/michelle-daiana-gentile-argentina
"Hui Zhang, China Mainland",,"2016 Sony World Photography Awards - 2nd Place, Architecture, Professional Competition",https://www.worldphoto.org/team-profile/hui-zhang-china-mainland
"Boyuan Zhang, China Mainland",http://zhangboyuan.net/,"2019 Sony World Photography Awards - 2nd Place, Discovery, Professional Competition",https://www.worldphoto.org/team-profile/boyuan-zhang-china-mainland
"Filip Wolak, Poland",https://www.filipwolak.com/,"2016 Sony World Photography Awards - Category Winner, Architecture, Open Competition",https://www.worldphoto.org/team-profile/filip-wolak-poland
"Youqiong Zhang, China Mainland",,"2020 Sony World Photography Awards - 3rd Place, Documentary, Professional Competition",https://www.worldphoto.org/team-profile/youqiong-zhang-china-mainland
"Justyna Zdunczyk, Poland",https://justynazdunczyk.photoshelter.com/index,"2018 Sony World Photography Awards - Category Winner, Wildlife, Open Competition",https://www.worldphoto.org/team-profile/justyna-zdunczyk-poland
"Yiming Zhang, China Mainland",https://www.yimingzhangart.com/,"2019 Sony World Photography Awards - 2nd Place, Still Life, Professional Competition",https://www.worldphoto.org/team-profile/yiming-zhang-china-mainland
Homepage,,The Sony World Photography Awards closes in January - enter for free now! ,https://www.worldphoto.org/
"Pavel Wolberg, Israel/Russian Federation",https://pavelwolbergimages.com/,"2011 Sony World Photography Awards - Winner, Sport, Professional Competition",https://www.worldphoto.org/team-profile/pavel-wolberg-israelrussian-federation
"Natalia Wiernik, Poland",https://gupmagazine.com/interview/theres-only-ambiguity-an-interview-with-natalia-wiernik/,2013 Sony World Photography Awards - Student Focus Winner,https://www.worldphoto.org/team-profile/natalia-wiernik-poland
"Alain Willaume, France",http://tendancefloue.net/alainwillaume/bio/,"2011 Sony World Photography Awards - Winner, Portraiture, Professional Competition",https://www.worldphoto.org/team-profile/alain-willaume-france
"Vanessa Winship, United Kingdom",http://vanessawinship.com,"2008 Sony World Photography Awards - Iris d'Or and Winner, Portraiture, Professional Competition",https://www.worldphoto.org/team-profile/vanessa-winship-united-kingdom
"Amiran White, United Kingdom",https://www.amiranphoto.com/,"2009 Sony World Photography Awards - Winner, Music, Professional Competition",https://www.worldphoto.org/team-profile/amiran-white-united-kingdom
"Mario Wezel, Germany",https://www.mariowezel.com/,"2014 Sony World Photography Awards - Winner, People, Professional Competition",https://www.worldphoto.org/team-profile/mario-wezel-germany
"Zelle Westfall, United States",https://zellewestfall.portfoliobox.net/,2019 Sony World Photography Awards - Youth Photographer of the Year,https://www.worldphoto.org/team-profile/zelle-westfall-united-states
"Scott Wilson, United Kingdom",https://www.wilsonaxpe.com/,2022 Sony World Photography Awards - Open Photographer of the Year,https://www.worldphoto.org/team-profile/scott-wilson-united-kingdom
"Luke Watson, United Kingdom",https://www.lukewatsonphotography.com/,"2020 Sony World Photography Awards - 3rd Place, Creative, Professional Competition",https://www.worldphoto.org/team-profile/luke-watson-united-kingdom
"Donald Weber, Canada",http://donaldweber.com/,"2015 Sony World Photography Awards - Winner, Still Life, Professional Competition",https://www.worldphoto.org/team-profile/donald-weber-canada
"Antoine Weis, Switzerland",https://www.instagram.com/tunewitsch_birds/,"2015 Sony World Photography Awards - Category Winner, Nature & Wildlife, Open Competition",https://www.worldphoto.org/team-profile/antoine-weis-switzerland
"Jonathan Walland, United Kingdom",https://www.instagram.com/jon_walland/?hl=en,"2020 Sony World Photography Awards - 2nd Place, Architecture, Professional Competition",https://www.worldphoto.org/team-profile/jonathan-walland-united-kingdom
"Julian Abram Wainwright, Canada",https://www.wainwrightphotographics.com/,"2009 Sony World Photography Awards - Winner, Sport, Professional Competition",https://www.worldphoto.org/team-profile/julian-abram-wainwright-canada
"Katelyn Wang, United States",https://www.katelyn-wang.com/,2017 Sony World Photography Awards - Youth Photographer of the Year,https://www.worldphoto.org/team-profile/katelyn-wang-united-states
"Tomáš Vocelka, Czech Republic",https://www.tomasvocelka.cz/,"2021 Sony World Photography Awards - Winner, Architecture & Design, Professional Competition",https://www.worldphoto.org/team-profile/tom%C3%A1%C5%A1-vocelka-czech-republic
"Irina Werning, Argentina",https://irinawerning.com/,"2012 Sony World Photography Awards - Winner, Portraiture, Professional Competition",https://www.worldphoto.org/team-profile/irina-werning-argentina
"Alexander Vinogradov, Russian Federation",https://alexandervinogradov.com/,2017 Sony World Photography Awards - Open Photographer of the Year,https://www.worldphoto.org/team-profile/alexander-vinogradov-russian-federation
"Nicol Vizioli, Italy",http://www.nicolvizioli.com,2011 Sony World Photography Awards - Student Focus Winner,https://www.worldphoto.org/team-profile/nicol-vizioli-italy
"Roman Vondrouš, Czech Republic",http://www.romanvondrous.cz/,"2022 Sony World Photography Awards - 3nd Place, Sport, Professional Competition",https://www.worldphoto.org/team-profile/roman-vondrou%C5%A1-czech-republic
"Christian Vizl, Mexico",https://www.christianvizl.com/,"2019 Sony World Photography Awards - 2nd Place, Natural World & Wildlife, Professional Competition",https://www.worldphoto.org/team-profile/christian-vizl-mexico
"Sergi Villanueva, Spain",https://www.sergivillanueva.com/,2019 Sony World Photography Awards - Student Photographer of the Year,https://www.worldphoto.org/team-profile/sergi-villanueva-spain
"Ami Vitale, United States",https://www.amivitale.com/,"2017 Sony World Photography Awards - 2nd Place, Natural World, Professional Competition",https://www.worldphoto.org/team-profile/ami-vitale-united-states
"Max Vere-Hodge, United kingdom",https://www.maxverehodge.com/,"Winner, Travel, Open competition 2023",https://www.worldphoto.org/team-profile/max-vere-hodge-united-kingdom
"Tuomas Uusheimo, Finland",http://www.uusheimo.com/,"2019 Sony World Photography Awards - 2nd Place, Architecture, Professional Competition",https://www.worldphoto.org/team-profile/tuomas-uusheimo-finland
"Antoine Veling, Australia",https://antoinecaptured.com/,"2020 Sony World Photography Awards - Category Winner, Culture, Open Competition",https://www.worldphoto.org/team-profile/antoine-veling-australia
"Michael van den Bogaard, Germany",http://www.vandenbogaard.de/,"2009 Sony World Photography Awards - Winner, Architecture, Professional Competition",https://www.worldphoto.org/team-profile/michael-van-den-bogaard-germany
"F.Dilek Uyar, Turkey",https://www.dilekuyar.com/,"2021 Sony World Photography Awards - Category Winner, Street Photography, Open Competition",https://www.worldphoto.org/team-profile/fdilek-uyar-turkey
"Laetitia Vançon, France",https://www.vanconlaetitia.com/,"2019 Sony World Photography Awards - 3rd Place, Portraiture, Professional Competition",https://www.worldphoto.org/team-profile/laetitia-van%C3%A7on-france
"Richard Frishman, United States",https://www.frishphoto.com/,"2018 Sony World Photography Awards - Category Winner, Still Life, Open Competition",https://www.worldphoto.org/team-profile/richard-frishman-united-states
,,The Sony World Photography Awards closes in January - enter for free now! ,https://www.worldphoto.org/blog
"Raphaël Neal, United Kingdom",http://www.raphaelneal.com/,"2022 Sony World Photography Awards - 2nd Place Creative, Professional Competition",https://www.worldphoto.org/team-profile/rapha%C3%ABl-neal-united-kingdom
"Julia Fullerton-Batten, United Kingdom",https://juliafullerton-batten.com/,"2021 Sony World Photography Awards - 2nd Place, Portraiture, Professional Competition",https://www.worldphoto.org/team-profile/julia-fullerton-batten-united-kingdom
"Richard Ansett, United Kingdom",http://richardansett.com/,"2019 Sony World Photography Awards - Category Winner, Portraiture, Open Competition",https://www.worldphoto.org/team-profile/richard-ansett-united-kingdom
"Robin Utrecht, Netherlands",http://www.royalsbyrobin.com/,"2008 Sony World Photography Awards - Winner, Sport, Professional Competition",https://www.worldphoto.org/team-profile/robin-utrecht-netherlands
"Antony Crossfield, United Kingdom",https://antonycrossfield.com/,"2015 Sony World Photography Awards - Category Winner, Enhanced, Open Competition",https://www.worldphoto.org/team-profile/antony-crossfield-united-kingdom
"Kohei Ueno, Japan",https://www.koheiueno.com/,"2019 Sony World Photography Awards - 2nd Place, Sport, Professional Competition",https://www.worldphoto.org/team-profile/kohei-ueno-japan
"Alexander Ingle, United Kingdom",https://www.alexingle.com/,"2016 Sony World Photography Awards - Category Winner, Smile, Open Competition",https://www.worldphoto.org/team-profile/alexander-ingle-united-kingdom
"Angelos Tzortzinis, Greece",https://www.angelos-tzortzinis.com/,"2016 Sony World Photography Awards - Winner, Current Affairs, Professional Competition",https://www.worldphoto.org/team-profile/angelos-tzortzinis-greece
"Tim Cornbill, United Kingdom",https://timcornbillphotography.com/,"2017 Sony World Photography Awards - Winner, Architecture, Open Competition",https://www.worldphoto.org/team-profile/tim-cornbill-united-kingdom
"Scott Typaldos, Switzerland",https://www.scotttypaldos.com/,"2015 Sony World Photography Awards - Winner, Contemporary Issues, Professional Competition",https://www.worldphoto.org/team-profile/scott-typaldos-switzerland
"Lorenzo Tugnoli, Italy",https://www.lorenzotugnoli.com/,"2021 Sony World Photography Awards - 3rd Place, Documentary Projects, Professional Competition",https://www.worldphoto.org/team-profile/lorenzo-tugnoli-italy
"Mariano Belmar Torrecilla, Spain",https://www.facebook.com/mariano.belmartorrecilla,"2021 Sony World Photography Awards - Category Winner, Lifestyle, Open Competition",https://www.worldphoto.org/team-profile/mariano-belmar-torrecilla-spain
"Giovanni Troilo, Italy",http://www.giovannitroilo.com/,"2015 Sony World Photography Awards - Winner, People, Professional Competition",https://www.worldphoto.org/team-profile/giovanni-troilo-italy
"Simone Tramonte, Italy",https://www.simonetramonte.it/,"2021 Sony World Photography Awards - Winner, Environment, Professional Competition",https://www.worldphoto.org/team-profile/simone-tramonte-italy
"Kurt Tong, United Kingdom",https://www.kurttong.co.uk/,"2017 Sony World Photography Awards - 2nd Place, Landscape, Professional Competition",https://www.worldphoto.org/team-profile/kurt-tong-united-kingdom
"Alfio Tommasini, Switzerland",http://www.alfiotommasini.com/,"2018 Sony World Photography Awards - 3rd Place, Contemporary Issues, Professional Competition",https://www.worldphoto.org/team-profile/alfio-tommasini-switzerland
"Klaus Thymann, Denmark",https://www.klausthymann.com/,"2013 Sony World Photography Awards - Winner, Fashion & Beauty, Professional Competition",https://www.worldphoto.org/team-profile/klaus-thymann-denmark
"Helen Thompson, United Kingdom",,"2012 Sony World Photography Awards - Winner, Still Life, Professional Competition",https://www.worldphoto.org/team-profile/helen-thompson-united-kingdom
"Alys Tomlinson, United Kingdom",http://www.alystomlinson.co.uk/,"2018 Sony World Photography Awards - Photographer of the Year and Winner, Discover, Professional Competition",https://www.worldphoto.org/team-profile/alys-tomlinson-united-kingdom
"Gali Tibbon, Israel",http://www.galitibbon.com/,"2013 Sony World Photography Awards - Winner, Travel, Professional Competition",https://www.worldphoto.org/team-profile/gali-tibbon-israel
"Edward Thompson, United Kingdom",https://edwardthompson.co.uk/,"2019 Sony World Photography Awards - 3rd Place, Brief, Professional Competition",https://www.worldphoto.org/team-profile/edward-thompson-united-kingdom
"Nguyen Phuc Thanh, Vietnam",https://nguyenphucthanh.vn/,"2022 Sony World Photography Awards - Category Winner, Travel, Open Competition",https://www.worldphoto.org/team-profile/nguyen-phuc-thanh-vietnam
"Rodrigo Terrén, Argentina",https://www.rodrigoterren.com.ar/,2010 Sony World Photography Awards - Student Focus Winner,https://www.worldphoto.org/team-profile/rodrigo-terre%CC%81n-argentina
"Ricardo Teles, Brazil",https://www.ricardoteles.com.br/,"2012 Sony World Photography Awards - Winner, Sport, Professional Competition",https://www.worldphoto.org/team-profile/ricardo-teles-brazil
"Hiroshi Tanita, Japan",https://www.hiroshitanita.com/,"2017 Sony World Photography Awards - Winner, Nature, Open Competition",https://www.worldphoto.org/team-profile/hiroshi-tanita-japan
"Luis Tato, Spain",http://www.luistatophoto.com/,"2021 Sony World Photography Awards - Winner, Wildlife & Nature, Professional Competition",https://www.worldphoto.org/team-profile/luis-tato-spain
"George Tatakis, Greece",https://www.tatakis.com/,"2022 Sony World Photography Awards - 2nd Place, Portraiture, Professional Competition",https://www.worldphoto.org/team-profile/george-tatakis-greece
"Martin Stranka, Czech Republic",https://www.martinstranka.com/,"2019 Sony World Photography Awards - Category Winner, Creative, Open Competition",https://www.worldphoto.org/team-profile/martin-stranka-czech-republic
"Rahul Talukder, Bangladesh",https://www.instagram.com/rahultalukder/,"2015 Sony World Photography Awards - Winner, Conceptual, Professional Competition",https://www.worldphoto.org/team-profile/rahul-talukder-bangladesh
"Christina Stohn, Germany ",https://www.christinastohn.com/,"2019 Sony World Photography Awards - 2nd Place, Brief, Professional Competition",https://www.worldphoto.org/team-profile/christina-stohn-germany
"Andrej Tarfila, Slovenia",http://andrejtarfila.com/,"2016 Sony World Photography Awards - Category Winner, Travel, Open Competition",https://www.worldphoto.org/team-profile/andrej-tarfila-slovenia
"Brent Stirton, South Africa",http://www.brentstirton.com/,"2022 Sony World Photography Awards - 3rd Place, Portraiture, Professional Competition",https://www.worldphoto.org/team-profile/brent-stirton-south-africa
"Andrea Staccioli, Italy",https://www.insidefoto.com/,"2020 Sony World Photography Awards - 3rd Place, Sport, Professional Competition",https://www.worldphoto.org/team-profile/andrea-staccioli-italy
"Constantinos Sofikitis, Greece",https://www.csofikitis.com/,"2017 Sony World Photography Awards - Winner, Street Photography, Open Competition",https://www.worldphoto.org/team-profile/constantinos-sofikitis-greece
"Etienne Souchon, France",https://www.instagram.com/etsionpartait,"2022 Sony World Photography Awards - Category Winner, Street Photography, Open Competition",https://www.worldphoto.org/team-profile/etienne-souchon-france
"Alnis Stakle, Latvia",https://alnisstakle.com/,"2022 Sony World Photography Awards - Winner, Creative, Professional Competition",https://www.worldphoto.org/team-profile/alnis-stakle-latvia
"Panos Skordas-Takis, Greece",https://pskordas.wixsite.com/panos-skordas-1,"2018 Sony World Photography Awards - Category Winner, Culture, Open Competition",https://www.worldphoto.org/team-profile/panos-skordas-takis-greece
"Antonio Pérez, Spain",,"2021 Sony World Photography Awards - 3rd Place, Environment, Professional Competition",https://www.worldphoto.org/team-profile/antonio-p%C3%A9rez-spain
"Stephanie Sinclair, United States",https://stephaniesinclair.com/,"2016 Sony World Photography Awards - 3rd Place, Daily Life, Professional Competition",https://www.worldphoto.org/team-profile/stephanie-sinclair-united-states
"Li Song, China Mainland",,"2017 Sony World Photography Awards - 2nd Place, Contemporary Issues, Professional Competition ",https://www.worldphoto.org/team-profile/li-song-china-mainland
"Christina Simons, Iceland",http://www.christinasimons.com/,"2017 Sony World Photography Awards - 2nd Place, Daily Life, Professional Competition",https://www.worldphoto.org/team-profile/christina-simons-iceland
"Saja Seus, Germany",https://www.sajaseus.com/, ,https://www.worldphoto.org/team-profile/saja-seus-germany
"Vitali Seitz, Germany",,2010 Sony World Photography Awards - Open Photographer of the Year,https://www.worldphoto.org/team-profile/vitali-seitz-germany
"Fyodor Savintsev, Russian Federation",https://boosty.to/fsavintsev,"2021 Sony World Photography Awards - 3rd Place, Landscape, Professional Competition",https://www.worldphoto.org/team-profile/fyodor-savintsev-russian-federation
"Kirstin Schmitt, Germany",http://www.sailorsyarn.com,"2016 Sony World Photography Awards - Winner, Candid, Professional Competition",https://www.worldphoto.org/team-profile/kirstin-schmitt-germany
"Moises Saman, United States",https://www.magnumphotos.com/photographer/moises-saman/,"2008 Sony World Photography Awards - Winner, Photojournalism, Professional Competition",https://www.worldphoto.org/team-profile/moises-saman-united-states
"Philippe Sarfati, France",https://phsarfati.com/,"2019 Sony World Photography Awards - Category Winner, Architecture, Open Competition",https://www.worldphoto.org/team-profile/philippe-sarfati-france
"Holger Schmidtke, Germany",https://beta.1x.com/hosch,"2014 Sony World Photography Awards - Category Winner, Architecture, Open Competition",https://www.worldphoto.org/team-profile/holger-schmidtke-germany
"Leah Schretenthaler, United States",https://www.leahschretenthaler.com/,"2019 Sony World Photography Awards - 2nd Place, Creative, Professional Competition",https://www.worldphoto.org/team-profile/leah-schretenthaler-united-states
"Nenad Šaljić, Croatia",https://www.nenadsaljic.com/,"2013 Sony World Photography Awards - Winner, Landscape, Professional Competition",https://www.worldphoto.org/team-profile/nenad-%C5%A1alji%C4%87-croatia
"Isabel Salmon, United Kingdom",https://www.isabelsalmon.com/,"2022 Sony World Photography Awards - Category Winner, Creative, Open Competition",https://www.worldphoto.org/team-profile/isabel-salmon-united-kingdom
"Samsul Said, Malaysia",http://samsulsaid.com/,"2018 Sony World Photography Awards - Winner, Current Affairs, Professional Competition",https://www.worldphoto.org/team-profile/samsul-said-malaysia
"Rubén Salgado Escudero, Spain",https://www.rubensalgado.com/,"2016 Sony World Photography Awards - 3rd Place, Portraiture, Professional Competition",https://www.worldphoto.org/team-profile/rub%C3%A9n-salgado-escudero-spain
"Ioanna Sakellaraki, Greece",https://ioannasakellaraki.com/,2020 Sony World Photography Awards - Student Photographer of the Year,https://www.worldphoto.org/team-profile/ioanna-sakellaraki-greece
"Sasha Bauer, Russian Federation",https://sashabauer.com/en,"2021 Sony World Photography Awards - 3rd Place, Creative, Professional Competition",https://www.worldphoto.org/team-profile/sasha-bauer-russian-federation
"Juan López Ruiz, Spain",https://jlopezruiz.com/,"2021 Sony World Photography Awards - Category Winner, Landscape, Open Competition",https://www.worldphoto.org/team-profile/juan-l%C3%B3pez-ruiz-spain
"Lyudmila Sabanina, Russian Federation",https://www.instagram.com/sabanina_lu,"2021 Sony World Photography Awards - Category Winner, Portraiture, Open Competition",https://www.worldphoto.org/team-profile/lyudmila-sabanina-russian-federation
"Sergey Dibtsev, Russian Federation",http://sergeydibtsev.com,"2017 Sony World Photography Awards - Winner, Still Life, Open Competition",https://www.worldphoto.org/team-profile/sergey-dibtsev-russian-federation
"Florian Ruiz, France",https://florianruiz.photoshelter.com/,"2020 Sony World Photography Awards - 2nd Place, Landscape, Professional Competition",https://www.worldphoto.org/team-profile/florian-ruiz-france
"Alessio Romenzi, Italy",https://alessioromenzi.photoshelter.com/,"2017 Sony World Photography Awards - Winner, Current Affairs & News, Professional Competition",https://www.worldphoto.org/team-profile/alessio-romenzi-italy
"Andrea Rossato, Italy",,"2016 Sony World Photography Awards - 3rd Place, Candid, Professional Competition",https://www.worldphoto.org/team-profile/andrea-rossato-italy
"Fabian Ritter, Germany",http://www.dockscollective.com,"2022 Sony World Photography Awards - 2nd Place, Documentary Projects, Professional Competition",https://www.worldphoto.org/team-profile/fabian-ritter-germany
"Dione Roach, Italy",https://www.dioneroach.com/,"2020 Sony World Photogrpahy Awards - 2nd Place, Creative, Professional Competition",https://www.worldphoto.org/team-profile/dione-roach-italy
"José De Rocco, Argentina",https://www.instagram.com/josederocco/?hl=en,"2020 Sony World Photography Awards - 3rd Place, Architecture, Professional Competition",https://www.worldphoto.org/team-profile/jos%C3%A9-de-rocco-argentina
"Paloma Rincon, Spain",https://palomarincon.com/,"2021 Sony World Photography Awards - 3rd Place, Still Life, Professional Competition",https://www.worldphoto.org/team-profile/paloma-rincon-spain
"Jorge Reynal, Argentina",https://www.instagram.com/jorge_reynal_photo/,"2020 Sony World Photography Awards - Category Winner, Still Life, Open Competition",https://www.worldphoto.org/team-profile/jorge-reynal-argentina
"Andrius Repšys, Lithuania",http://www.likelithuania.lt/,"2022 Sony World Photography Awards - 2nd Place, Landscape, Professional Competition",https://www.worldphoto.org/team-profile/andrius-rep%C5%A1ys-lithuania
"Romina Ressia, Argentina",https://www.rominaressiaph.com/,"2017 Sony World Photography Awards - 2nd Place, Portraiture, Professional Competition",https://www.worldphoto.org/team-profile/romina-ressia-argentina
"Denis Rouvre, France",https://www.rouvre.com/,"2020 Sony World Photography Awards - 2nd Place, Portraiture, Professional Competition",https://www.worldphoto.org/team-profile/denis-rouvre-france
"Antoine Repessé, France",https://www.antoinerepesse.com/,"2016 Sony World Photography Awards - 3rd Place, Campaign, Professional Competition",https://www.worldphoto.org/team-profile/antoine-repess%C3%A9-france
"Robert Zhao Renhui, Singapore",http://criticalzoologists.org/main.html,"2011 Sony World Photography Awards - Winner, Still Life, Professional Competition",https://www.worldphoto.org/team-profile/robert-zhao-renhui-singapore
"Rohan Reilly, Ireland",https://www.rohanreilly.com/,"2018 Sony World Photography Awards - 2nd Place, Landscape, Professional Competition",https://www.worldphoto.org/team-profile/rohan-reilly-ireland
"Roselena	Ramistella, Italy",http://www.roselenaramistella.com/,"2018 Sony World Photography Awards - Winner, Natural World & Wildlife, Professional Competition",https://www.worldphoto.org/team-profile/roselena-ramistella-italy
"Graeme Purdy, United Kingdom",https://purdy.photography/,"2021 Sony World Photography Awards - 2nd Place, Wildlife & Nature, Professional Competition",https://www.worldphoto.org/team-profile/graeme-purdy-united-kingdom
"Milan Radisics, Hungary",https://milan.hu/,"2022 Sony World Photography Awards - Winner, Wildlife & Nature, Professional Competition",https://www.worldphoto.org/team-profile/milan-radisics-hungary
"Espen Rasmussen, Norway",https://www.espenrasmussen.com/,"2016 Sony World Photography Awards - Winner, Daily Life, Professional Competition",https://www.worldphoto.org/team-profile/espen-rasmussen-norway
